,Taxon,Taxon02,Raw_Taxon,Annual_Perennial2,Habitat3,Subfamily,Photosynthetic_Type,Stele.Diameter,Stele.Area,No.Primary.Metaxylem.Vessels,Mean.Metaxylem.Diameter,Mean.Metaxylem.Area,Mean.Endodermal.Thickening,Mean.Endodermal.Cell.Depth,SD.Metaxylem.Diameter,SD.Metaxylem.Area,SD.Endodermal.Thickening,SD.Endodermal.Cell.Depth,COV.Metaxylem.Diameter,COV.Metaxylem.Area,COV.Endodermal.Thickening,COV.Endodermal.Cell.Depth,Total.metaxylem.area,Metaxylem.to.Stele.Ratio,MAT.degC,Mdiurnalrange.degC,Isothermality,Tseasonality,MaxTwarmweek.degC,MinTcoldweek.degC,Tannrange.degC,MtempwetQ.degC,MtempdryQ.degC,MtempwarmQ.degC,MtempcoldQ.degC,AnnP.mm,Pwetweek.mm,Pdryweek.mm,Pseasonality,PwetQ.mm,PdryQ.mm,PwarmQ.mm,PcoldQ.mm,Annmeanradiation.Wm2,Highweekrad.Wm2,Lowweekrad.Wm2,Radseasonality,RadwetQ.Wm2,RaddryQ.Wm2,RadwarmQ.Wm2,RadcoldQ.Wm2,Annmoistureindex,Hweekmoistureindex,Lowweekmoistureindex,Mindexseasonality,MmoistureindexwetQ,MmoistureindexdryQ,MmoistureindexwarmQ,MmoistureindexcoldQ,FirstPCA1to35,SecondPCA1to35,ThirdPCA1to35,FourthPCA1to35,FifthPCA1to35,Number.Endodermal.Layers,Median.phloem.clusters,Genus
Diarrhena_obovata,Diarrhena_obovata,Diarrhena_obovata,Diarrhena obovata,Perennial,Shade,Pooideae,C3,332.007,86573.28,10,31.7633,805.2544,9.041785714,12.718,4.26493788,204.3226081,1.085443559,1.38806412,0.134272506,0.253736717,0.120047477,0.109141698,8052.544,0.093014196,9.566039562,12.35503483,0.318800747,0.032927945,28.92100048,-10.08066487,39.00166512,19.95175457,-2.833699629,21.00038433,-2.887802124,910.5000305,23.17080021,10.36671472,0.244300701,290.5496063,149.8915024,285.9151001,150.0298538,132.8022003,209.5174942,54.43799973,0.408060908,198.793251,68.91633606,196.6320496,70.42588425,0.876379102,1.033742547,0.631037503,0.1616407,1.013733864,0.677170753,0.682318956,0.996102393,-0.40165551,0.157959506,1.058195502,1.248457015,0.310653508,14,5,Diarrhena
Patis_racemosa,Patis_racemosa,Patis_racemosa,Patis racemosum,Perennial,Shade,Pooideae,C3,175.935,24310.451,7,26.51614286,562.6167143,4.574714286,12.18128571,3.930579789,145.1659554,0.56426965,1.313010499,0.148233467,0.258019273,0.123345332,0.107789155,3938.317,0.162000985,5.993019849,10.48388815,0.252306622,0.037764502,26.18344367,-15.36290616,41.54635048,18.27625304,-5.591844827,18.82303143,-8.225693673,968.0000992,22.45009983,14.34594983,0.127027918,276.4138165,201.0290651,273.9715271,217.9300194,126.2192607,212.3831854,42.17409372,0.47832432,182.5706768,92.04969215,197.0055075,60.24045587,0.959721774,1.12078926,0.688161012,0.149048571,1.098307118,0.743629538,0.745473683,1.079704612,-0.55501793,0.209133686,1.395980455,0.989788555,0.703493182,7,3,Patis
Melica_subulata,Melica_subulata,Melica_nitens,Melica nitens,Perennial,Open,Pooideae,C3,294.342,68044.563,6,37.87,1133.373833,3.786818182,16.36745455,3.272438051,196.0503271,0.575258867,3.052461052,0.086412412,0.172979401,0.151910876,0.186495771,6800.243,0.09993808,11.61798787,11.98503518,0.319635458,0.03186512,30.11777496,-7.654030204,37.77180576,18.58073258,3.382939577,22.68314552,-0.568288445,1074.749908,27.14330006,12.32898498,0.224054124,332.8568954,190.4913292,296.8619232,221.2970314,139.2136993,214.3230019,61.20987415,0.386922374,193.7976036,97.50284958,201.4480019,76.13323212,0.900732681,1.096493512,0.639456764,0.183391798,1.064309269,0.674941838,0.685893968,1.059500515,-0.247748502,0.249580503,1.233829275,1.120861277,0.683572501,11,5.5,Melica
Nardus_stricta,Nardus_stricta,Nardus_stricta,Nardus stricta,Perennial,Open,Pooideae,C3,263.951,54718.597,5,43.4348,1483.6254,11.34728571,16.27457143,1.745837106,121.2306568,0.85824952,1.276097026,0.040194432,0.081712444,0.075634785,0.078410484,7418.127,0.135568662,8.73203101,9.345778886,0.369805723,0.019764479,23.12038096,-2.425360974,25.54574192,7.057307026,12.38141558,16.16803965,1.940356312,897.9340469,24.72610455,9.956332441,0.253368959,292.4015501,155.2187729,174.7399203,250.4714429,133.7056184,237.8858895,43.67378846,0.512907136,93.6741115,185.5620067,210.9207893,59.08599438,0.894743151,1.137792592,0.515120921,0.250095937,1.109592396,0.583661321,0.59732582,1.086685116,0.322867353,-0.049051633,0.893016664,-1.2175581,1.226008713,7,5,Nardus
Brachyelytrum_aristosum,Brachyelytrum_aristosum,Brachyelytrum_erectum,Brachyelytrum erectum,Perennial,Shade,Pooideae,C3,307.394,74213.194,10,34.8661,961.8257,3.641611111,12.88922222,3.159488793,172.0893696,0.505433552,1.358503093,0.090617786,0.178919496,0.138793939,0.105398376,9618.257,0.12960306,7.426973494,10.33902532,0.292917029,0.030681189,25.01005103,-10.47872393,35.48877502,9.750024944,4.400724977,18.1446566,-3.945466583,1168.634149,28.97198026,16.17067388,0.172466346,352.0418924,231.6084081,297.5943142,286.2438913,127.9761161,205.158831,48.95147054,0.434586457,125.7354253,132.9123029,187.7430509,68.08120272,1.013219018,1.155919754,0.818975973,0.114246362,1.134914709,0.863570319,0.868809134,1.110964711,-0.103176267,0.176193878,1.613782037,0.101789507,0.544371512,18,4.5,Brachyelytrum
Ehrharta_bulbosa,Ehrharta_bulbosa,Ehrharta_erecta,Ehrharta erecta,Perennial,Shade,Oryzoideae,C3,230.104,41585.194,7,34.58342857,941.2305714,7.900625,17.000875,1.671614874,88.81866438,1.054823064,1.477536312,0.048335719,0.094364407,0.133511344,0.086909427,6588.614,0.158436534,15.34526576,12.06359607,0.526474344,0.013056412,27.47087713,4.411606725,23.05927019,13.46603269,17.13616284,20.28904804,10.68948849,692.7060964,24.92589324,4.665291391,0.565898015,294.5287889,73.17341839,133.6213163,216.1900086,168.0734451,237.9461525,94.50860207,0.299731593,139.7105397,200.1212651,218.9430328,112.0744301,0.619781113,1.007340258,0.280883674,0.458008727,0.963510823,0.310550872,0.400212387,0.835468493,0.774939428,-0.138657889,0.005384738,-0.829142392,0.8471092,8,5,Ehrharta
Leersia_tisserantii,Leersia_tisserantii,Leersia_oryzoides,Leersia oryzoides,Perennial,Open,Oryzoideae,C3,160.72,20287.563,4,38.58125,1191.1055,5.091916667,10.36841667,6.113956241,352.2129866,0.510595278,1.025532452,0.158469626,0.295702594,0.100275655,0.098909263,4764.422,0.234844471,11.69705709,10.86824693,0.387803519,0.021320565,27.05245802,-1.215525087,28.26798385,9.354568804,13.59463017,19.53191765,4.048695987,820.9879696,24.52381159,8.466168594,0.354536467,291.0731866,130.0733696,154.7993396,254.724235,136.4511268,231.9416843,48.86567629,0.479326207,88.27225769,178.9572345,208.9369981,62.83579062,0.796602576,1.093832233,0.444222681,0.328439231,1.062607537,0.495475253,0.502613379,1.036867369,0.312583305,0.036286205,0.565616464,-1.037323205,1.341826872,12,5,Leersia
Oryza_sativa,Oryza_sativa,Oryza_sativa,Oryza sativa,Annual,Open,Oryzoideae,C3,325.683,83306.848,6,60.55466667,2890.368167,7.871545455,12.82481818,3.9901476,364.8896203,1.428964266,2.027884998,0.065893313,0.126243302,0.181535414,0.15812193,17342.209,0.20817267,21.23043443,11.20762399,0.550777889,0.01199607,32.59727229,10.73310625,21.86416589,20.62448153,23.76547268,25.78923639,16.81988272,1356.013,56.01114805,5.26245697,0.631948438,619.3595867,94.56574818,270.836194,327.8431707,169.2699672,230.779976,111.056217,0.244097665,141.4644934,207.9335905,211.9556881,125.1889934,0.760867883,1.275317912,0.29574529,0.467980482,1.179508123,0.3534268,0.555261688,0.861067193,0.787569437,0.889833871,-0.14004747,-0.310548259,1.116395359,11,4.5,Oryza
Streptogyna_americana,Streptogyna_americana,Streptogyna_americana,Streptogyna americana,Perennial,Shade,Oryzoideae,C3,490.034,188600.565,17,28.86052941,672.6099412,13.80945455,18.23145455,4.992594993,225.2760311,1.992726593,2.5201512,0.172990416,0.334928191,0.144301615,0.138230946,11434.369,0.060627438,25.23652615,9.825259184,0.754676323,0.002560187,31.89509574,18.80118205,13.09391367,25.17867781,25.02127501,26.14983319,24.2222827,2096.777793,77.0022122,9.052049075,0.557955389,885.5866034,158.864106,396.0885171,505.2598486,159.4260382,189.7163765,129.0927484,0.127556887,144.0210175,173.8045324,178.7630508,145.7469607,1.072685354,1.568947516,0.477536443,0.347860006,1.477633259,0.570648346,0.849701165,1.091272273,1.091544302,1.617913535,0.350890132,-0.1423273,0.290777387,11,8.8,Streptogyna
Oplismenus_hirtellus,Oplismenus_hirtellus,Oplismenus_hirtellus,Oplismenus hirtellus,Annual,Open,Panicoideae,C3,202.405,32175.998,7,33.90485714,922.0058571,10.8533,13.3355,5.334513206,256.3980333,1.754289476,1.907811967,0.157337728,0.278087207,0.161636505,0.14306265,6454.041,0.200585573,19.78505374,10.76432818,0.606221697,0.009166867,28.53987833,9.917487972,18.62239037,22.34708043,17.20859765,22.98545836,16.17315648,1558.30817,54.79317275,10.42232923,0.484985813,640.2552055,167.6762887,496.6686472,290.0046413,170.5773718,211.3928955,123.1746054,0.174665919,178.4579492,164.6210554,194.2445282,139.6971245,0.921598879,1.278709953,0.53043981,0.274275534,1.211556908,0.604106604,0.996532881,0.865907956,0.864383788,0.756561442,0.696936097,0.445093717,-0.403698069,10,6,Oplismenus
Setaria_viridis,Setaria_viridis,Setaria_italica,Setaria italica,Perennial,Open,Panicoideae,C4,246.412,47688.561,6,43.51433333,1493.823833,1.949857143,14.07571429,3.194705036,220.6959487,0.376419282,2.321881113,0.073417304,0.147738939,0.193049672,0.164956539,8962.943,0.187947441,14.43363656,11.17089032,0.438136129,0.018407034,27.95128642,1.525153058,26.42613326,16.31907819,11.33323589,21.09250592,7.615135637,870.9915169,26.65820455,8.765700862,0.335444789,312.9704019,135.071279,254.9387486,176.7456374,157.6249743,229.2820464,83.89113266,0.338159157,164.9797353,145.9299639,210.9792352,100.9301794,0.735585601,0.9908308,0.458784776,0.258785476,0.949911805,0.506173959,0.620111561,0.819341703,0.471320768,-0.167947769,0.735585267,0.056735778,0.281138837,7,5,Setaria
Urochloa_reptans,Urochloa_reptans,Urochloa_reptans,Urochloa repens,Annual,Open,Panicoideae,C4,309.323,75147.553,7,38.43242857,1247.985286,7.814,14.33807143,7.406951259,456.7901508,0.881606575,0.983103443,0.192726599,0.366022065,0.112823979,0.068565947,8735.897,0.11624992,25.21953532,11.63108783,0.641137438,0.007876403,34.46110357,15.17751848,19.28358519,26.56628135,23.57155784,27.9910279,22.03159948,1169.312877,55.17547274,3.323217221,0.833422737,594.9346876,57.11641838,321.6905484,162.3301862,189.1873747,229.4660795,151.6885442,0.132420127,181.7950175,192.6019822,211.0738516,166.9840052,0.670460664,1.224441582,0.231063096,0.552668077,1.104035285,0.268359958,0.611659394,0.547888056,1.082423431,0.74379926,-0.576977665,0.207858784,0.054749041,14,4.5,Urochloa
Panicum_virgatum,Panicum_virgatum,Panicum_virgatum,Panicum virgatum,Perennial,Open,Panicoideae,C4,498.021,194797.969,14,34.09664286,963.6887143,4.693255814,25.19151163,8.330035531,429.9238221,0.91222332,3.462720822,0.244306619,0.446123126,0.194368975,0.137455857,13491.642,0.069259665,10.94240861,11.76297604,0.348677997,0.028282291,28.41084529,-6.47308739,34.88393278,13.19409372,7.171323661,20.98651495,0.45722352,1005.254306,27.05253699,13.3123189,0.259672206,320.2427367,191.5915223,272.0508138,218.0811862,140.7345244,213.532191,65.24103003,0.371180711,150.3224845,123.8997108,196.7371453,82.63945161,0.840213191,1.019193904,0.59689739,0.173737837,0.991014985,0.649444273,0.694165075,0.912247523,0.059874386,-0.019276808,1.158520701,0.37900284,0.421346575,43,5.5,Panicum
Digitaria_exilis,Digitaria_exilis,Digitaria_eriantha,Digitaria eriantha,Annual,Open,Panicoideae,C4,332.622,86894.227,8,29.957625,720.4375,2.2009,22.4221,6.391947254,265.1288829,1.427303164,1.345816023,0.213366288,0.368010942,0.648508866,0.060021854,5763.5,0.066327767,18.64269584,13.76329138,0.563097369,0.012716341,29.7520695,5.062996487,24.68907295,22.1266236,14.47504068,22.93699056,13.52816286,746.7899733,29.19835587,3.263519457,0.644222665,341.110252,54.20431439,290.7268078,86.23993231,191.32149,233.516092,142.5228565,0.158350705,205.3061939,173.3587713,220.0555111,156.0313755,0.521962378,0.798722225,0.261358718,0.358508915,0.750984507,0.292144289,0.643446004,0.397871311,0.904372064,-0.338429,-0.062366968,0.527837104,-0.592539671,10,5,Digitaria
Diheteropogon_amplectens,Diheteropogon_amplectens,Andropogon_virginicus,Andropogon tectorum,Perennial,Open,Panicoideae,C4,419.673,138328.729,11,54.42609091,2375.918909,2.541625,13.12825,8.3185481,700.984148,0.453587517,2.629727681,0.152841183,0.295037068,0.178463588,0.200310604,26135.108,0.18893478,26.06008856,11.23718796,0.697509485,0.004132147,34.70559269,18.41778476,16.28780764,25.28840166,26.09369096,27.76840553,24.56848759,1266.961534,52.84971927,1.891644182,0.710552688,583.3568998,47.79014661,233.8689594,427.7665971,151.326992,180.4121642,110.7856543,0.156013168,134.6646834,163.4264965,174.2588389,122.086278,0.759361686,1.316086527,0.178511233,0.562462852,1.224806992,0.236632917,0.49800007,1.018703764,1.011563523,1.106512179,-0.58196253,-0.624491917,0.484690038,24,3.5,Diheteropogon
Sorghum_bicolor,Sorghum_bicolor,Sorghum_bicolor,Sorghum bicolor,Annual,Open,Panicoideae,C4,346.555,94326.766,6,63.2345,3172.824,4.721625,15.11925,7.030356371,647.6813145,0.896958979,2.315452671,0.111179125,0.204134019,0.18996828,0.153146001,19036.944,0.20181911,20.41258879,11.77111706,0.57150309,0.011657527,31.27637323,9.400047038,21.87632616,21.73748001,19.16820549,24.60372956,15.97242215,1101.533528,43.14511595,5.972237809,0.591433846,491.0588751,97.05359827,320.0395349,202.0330256,176.4864746,226.1879115,123.0203737,0.203880377,173.8650021,184.104662,210.0658167,137.8305081,0.697819651,1.08490869,0.332571341,0.375504722,1.01733785,0.379844752,0.645018056,0.702825551,0.871921387,0.309728144,0.112840315,0.144974955,0.101869303,8,5,Sorghum
Zea_mays,Zea_mays,Zea_mays,Zea mays,Annual,Open,Panicoideae,C4,510.474,204662.288,5,93.1708,6821.1168,12.66075,18.19205,2.263882219,335.6450233,2.099264204,2.300857014,0.024298194,0.049206755,0.165808835,0.126475961,34105.584,0.166643226,10.4747059,9.755178922,0.337286198,0.024011648,26.06643639,-3.256024075,29.32246042,11.42053876,9.7339892,19.01259715,1.610808327,870.5919107,25.13889893,10.7255126,0.269323018,292.3940393,153.630583,211.502243,209.3477894,141.3837107,241.6794487,50.18705178,0.473261324,138.8917272,144.7474905,221.0929625,64.95704631,0.832594807,1.099409988,0.526419463,0.254582302,1.063676922,0.576187841,0.613607849,1.00607658,0.121680292,-0.016213586,0.93728344,-0.311422915,1.121884957,20,5,Zea
Arundinella_deppeana,Arundinella_deppeana,Arundinella_deppeana,Arundinella deppeana,Perennial,Open,Panicoideae,C3,245.957,47512.6863,3,43.965,1533.321333,4.650333333,18.46566667,5.388665048,360.1623772,0.989827392,1.546339764,0.122567157,0.234890345,0.212850848,0.083741345,4599.964,0.09681549,22.89950617,10.61749338,0.776654136,0.002369685,30.16998245,16.43989979,13.73008258,22.6394768,22.93590176,23.88403154,22.05718168,2741.531992,100.04313,9.273689306,0.615793151,1144.979294,163.4946591,523.1195095,627.0869114,184.289477,213.8439764,157.0496422,0.093711032,175.8233851,191.4902657,206.0681732,162.5896999,1.20289142,1.81294183,0.467492366,0.397958383,1.684525431,0.561976709,0.941730861,1.236544132,0.923101753,2.454066334,0.226690485,0.295374594,1.123492777,6,4.5,Arundinella
Steinchisma_laxum,Steinchisma_laxum,Steinchisma_laxum,Steinchisma laxum,Perennial,Open,Panicoideae,C3,181.774,25951.061,6,30.5425,736.6736667,3.2685,12.3495,2.480547984,119.9514694,0.564658747,2.014083489,0.081216272,0.162828502,0.172757762,0.163090286,4420.042,0.170322208,24.11904179,10.21793581,0.694582457,0.005237639,31.09133387,16.27702667,14.81430728,25.19657326,22.69825112,25.85632996,21.95255557,1608.81818,50.73515701,11.86503936,0.422019396,599.2866603,190.9622624,509.781919,262.1835379,163.0406187,192.1905219,126.621069,0.130584488,167.4632861,158.9458396,180.0745069,145.7562369,0.974818697,1.256074089,0.598180884,0.230596969,1.200350026,0.670785225,1.066966516,0.870587333,1.178474452,0.572155766,0.975444449,0.378624023,-1.016695774,6,5,Steinchisma
Chasmanthium_laxum,Chasmanthium_laxum,Chasmanthium_latifolium,Chasmanthium latifolium,Perennial,Open,Panicoideae,C3,147.61,17112.851,4,29.449,778.0735,0.87775,9.288625,12.82902093,586.3132492,0.275132046,1.305841375,0.435635197,0.753544812,0.313451491,0.140585003,3112.294,0.181868819,15.29579691,13.04007526,0.369794948,0.027570072,32.66607654,-2.953999304,35.62007549,16.98215135,11.16668503,25.14687155,4.777390955,1165.252077,32.89282372,13.18766419,0.263350853,373.1880373,199.9074676,309.4153656,250.1966074,152.0611773,223.0572527,78.19505977,0.325590609,174.8304521,123.9954804,207.1341685,91.04754781,0.846656766,1.055527803,0.570989505,0.19120197,1.020125309,0.63898175,0.657802902,0.97134797,0.085653733,0.183254741,1.208840614,0.939041704,0.783830754,8,4.5,Chasmanthium
