"Taxon","Taxon02","Raw_Taxon","Annual_Perennial2","Habitat3","Subfamily","Photosynthetic_Type","Stele.Diameter","Stele.Area","No.Primary.Metaxylem.Vessels","Mean.Metaxylem.Diameter","Mean.Metaxylem.Area","Mean.Endodermal.Thickening","Mean.Endodermal.Cell.Depth","SD.Metaxylem.Diameter","SD.Metaxylem.Area","SD.Endodermal.Thickening","SD.Endodermal.Cell.Depth","COV.Metaxylem.Diameter","COV.Metaxylem.Area","COV.Endodermal.Thickening","COV.Endodermal.Cell.Depth","Total.metaxylem.area","Metaxylem.to.Stele.Ratio","MAT.degC","Mdiurnalrange.degC","Isothermality","Tseasonality","MaxTwarmweek.degC","MinTcoldweek.degC","Tannrange.degC","MtempwetQ.degC","MtempdryQ.degC","MtempwarmQ.degC","MtempcoldQ.degC","AnnP.mm","Pwetweek.mm","Pdryweek.mm","Pseasonality","PwetQ.mm","PdryQ.mm","PwarmQ.mm","PcoldQ.mm","Annmeanradiation.Wm2","Highweekrad.Wm2","Lowweekrad.Wm2","Radseasonality","RadwetQ.Wm2","RaddryQ.Wm2","RadwarmQ.Wm2","RadcoldQ.Wm2","Annmoistureindex","Hweekmoistureindex","Lowweekmoistureindex","Mindexseasonality","MmoistureindexwetQ","MmoistureindexdryQ","MmoistureindexwarmQ","MmoistureindexcoldQ","FirstPCA1to35","SecondPCA1to35","ThirdPCA1to35","FourthPCA1to35","FifthPCA1to35","Number.Endodermal.Layers"
"Bromus_tectorum","Bromus_tectorum","Bromus tectorum","Annual","Open","Pooideae","C3",186.414,27292.696,6,22.74766667,408.6665,4.460142857,11.46714286,1.879566191,65.14936122,0.817462625,3.218941618,0.082626769,0.159419383,0.183281713,0.280709995,2451.999,0.08984085,11.13521835,12.93239399,0.419919087,0.021918719,28.25763657,-2.666921815,30.92455828,8.17100328,15.13560914,19.43246534,3.559974781,598.3843677,21.30950057,3.494268948,0.515040653,250.2328469,61.97188068,83.57287165,212.2562326,159.3912414,254.1863521,71.55987632,0.39909468,124.4723145,205.9345371,231.4237714,86.20137564,0.591420155,0.934755356,0.24546881,0.435099719,0.899733753,0.283161775,0.301106466,0.856539528,0.371634126,-0.182213505,-0.037769898,-0.865818976,1.64912334,7
"Bromus_vulgaris","Bromus_vulgaris","Bromus vulgaris","Annual","Open","Pooideae","C3",220.436,38164.073,17,15.427,193.8139412,3.020181818,16.14154545,3.015922516,81.57598642,0.531685211,2.713783424,0.195496371,0.420898445,0.176044107,0.168124139,3294.837,0.086333474,8.676180639,13.3220868,0.470374222,0.019367049,25.16905203,-4.099396327,29.26844808,6.251803556,12.73079307,15.84416084,2.096459707,951.9038233,38.68222108,3.199595189,0.635841821,452.4381499,58.10391842,70.904504,431.7902373,148.6075827,257.2547314,55.7724461,0.468127001,103.7036021,202.7549297,227.8248341,69.12213061,0.766950133,1.247021415,0.242929423,0.495877129,1.205524446,0.285671929,0.303111243,1.191513565,0.13512525,0.725700037,-0.279028898,-1.248521638,2.626057311,11
"Centotheca_lappacea","Centotheca_lappacea","Centotheca lappaceae","Perennial","Shade","Panicoideae","C3",233.973,42995.17,9,38.27155556,1190.192778,3.621,9.542428571,7.551335082,449.6374223,0.417552791,1.225839013,0.197309333,0.377785373,0.11531422,0.128461953,10711.735,0.249138101,25.07745378,8.671875872,0.723476086,0.003645032,31.33455451,19.01845801,12.31609649,25.39389167,24.61209863,26.32645166,23.56110141,2210.588223,82.94461821,13.43355562,0.537058167,911.2158932,221.8672585,596.6524482,467.8298773,146.1696664,179.944085,109.954286,0.162941616,136.3487365,156.3602063,164.983046,122.9110669,1.126477002,1.631314241,0.597187775,0.305233754,1.495637298,0.689150734,1.115327958,1.090615127,1.008657116,1.776628521,0.707978877,0.105258887,-0.282435471,7
"Centropodia_glauca","Centropodia_mossamadensis","Centropodia mossamadensis","Perennial","Open","Chloridoideae","C4",927.46,675585.094,12,64.26946154,3266.428923,4.677166667,27.52266667,5.543883035,556.4575797,1.434286445,3.315431066,0.086259989,0.170356555,0.306657117,0.12046184,42463.576,0.062854519,19.7881635,8.813837846,0.599330266,0.006952984,26.36666616,11.67000008,14.69666672,21.98546282,17.22454707,22.05098343,16.88872941,115.3332634,7.553846598,0,1.159945647,79.40135447,0.082829366,76.26828893,0.082829366,163.1224976,188.1866709,130.1256663,0.114717498,176.1980998,136.8798981,174.3781026,137.2795359,0.201561401,0.396457324,0.087424199,0.493726323,0.353774404,0.095616897,0.349751805,0.121849599,1.380337,-1.224223673,-0.814314326,-0.819312016,-2.136362314,12
"Chasmanthium_laxum","Chasmanthium_latifolium","Chasmanthium latifolium","Perennial","Open","Panicoideae","C3",147.61,17112.851,4,29.449,778.0735,0.87775,9.288625,12.82902093,586.3132492,0.275132046,1.305841375,0.435635197,0.753544812,0.313451491,0.140585003,3112.294,0.181868819,15.29579691,13.04007526,0.369794948,0.027570072,32.66607654,-2.953999304,35.62007549,16.98215135,11.16668503,25.14687155,4.777390955,1165.252077,32.89282372,13.18766419,0.263350853,373.1880373,199.9074676,309.4153656,250.1966074,152.0611773,223.0572527,78.19505977,0.325590609,174.8304521,123.9954804,207.1341685,91.04754781,0.846656766,1.055527803,0.570989505,0.19120197,1.020125309,0.63898175,0.657802902,0.97134797,0.085653733,0.183254741,1.208840614,0.939041704,0.783830754,8
"Chionochloa_macra","Chionochloa_bromoides","Chionochloa bromoides","Perennial","Open","Danthonioideae","C3",422.013,139875.77,13,34.07276923,927.1582308,13.5814,18.116,4.601046659,258.8279642,2.100638644,1.651626606,0.135035888,0.279162667,0.154670258,0.091169497,12053.057,0.086169728,15.7581501,7.920680046,0.483729601,0.0098962,24.5,8.125809669,16.37418938,12.34259987,17.98378944,19.57357979,12.24260044,1612,43.16910172,23.04529953,0.206752703,525.6749268,305.7695007,342.2531128,518.3078003,139.0536957,194.3320007,77.7009964,0.292971194,89.20540619,189.4143066,174.2891998,95.2318573,1.165032983,1.338868976,1.019181967,0.087668873,1.306638002,1.038185954,1.070955992,1.297793984,0.934935987,0.279496998,2.293534994,-0.783069015,0.125031993,10
"Chusquea_circinata","Chusquea_liebmannii","Chusquea liebmannii","Perennial","Shade","Bambusoideae","C3",1196.199,1123819.978,17,66.17129412,3545.451471,3.2546,14.13046667,12.00159288,1182.554495,1.064297475,1.437854198,0.181371591,0.333541301,0.327013296,0.101755606,60272.675,0.053631966,23.73300593,10.32526817,0.784912955,0.002124895,30.84190623,17.68484861,13.15705739,23.35790513,23.91950989,24.66030745,23.00395815,2455.363636,95.6462978,5.027915572,0.677330991,1109.424784,93.22230923,381.3284514,578.1231856,186.0332138,218.2068449,158.1340577,0.097897176,175.0253111,195.5376712,210.2750267,162.4257692,1.127110178,1.77424834,0.327100339,0.441634168,1.661523237,0.413025693,0.73898124,1.234392762,0.938835802,2.353633642,-0.256377881,-0.02619088,1.417884816,15
"Cortaderia_selloana","Cortaderia_jubata","Cortaderia jubata","Perennial","Open","Danthonioideae","C3",1142.03,1024341.011,11,72.169,4149.5029,6.854916667,23.60991667,9.124554309,1075.653804,1.021494668,1.871394155,0.126433154,0.259224738,0.149016351,0.079263056,41495.029,0.040508999,13.23671608,10.83675151,0.640188578,0.008461177,22.89707581,4.739297959,18.157778,11.71562353,14.84216072,16.35641281,10.1608973,921.96,29.4010358,7.999102129,0.428168316,349.8516638,122.9142408,205.5410698,239.7029332,150.9052891,206.6123741,95.45263051,0.24871654,121.0346608,182.9244969,185.7929215,115.1711633,0.816922361,1.126143405,0.476185165,0.312897259,1.089654236,0.525987982,0.663811997,0.933064738,0.956409977,-0.083002254,0.513563066,-1.113234098,-0.210432414,12
"Danthonia_californica","Danthonia_californica","Danthonia californica","Perennial","Open","Danthonioideae","C3",294.453,68096.012,9,30.08611111,741.2467778,3.6058,13.6076,6.591410043,290.8003279,0.571889616,1.880096227,0.219084814,0.392312434,0.1586027,0.13816516,6671.221,0.097967866,7.93034677,13.71449446,0.442066228,0.022791926,25.83857555,-6.47227868,32.31085415,6.307873957,10.99339484,16.20656482,0.070149834,864.3768255,35.28320125,2.569648032,0.654567135,415.5002548,48.64096559,79.43319611,380.2952541,146.8185459,254.8290965,53.6500005,0.478302901,106.2047506,196.5411169,227.6801839,66.86676854,0.705260164,1.142985474,0.254399355,0.460018524,1.102379096,0.2904007,0.308965483,1.078905816,0.040816093,0.557705628,-0.297544345,-1.044592344,2.39782463,10
"Danthonia_spicata","Danthonia_spicata","Danthonia spicata","Perennial","Open","Danthonioideae","C3",234.283,43109.343,11,21.05236364,352.5836364,3.485444444,13.30611111,2.508607832,81.28594777,0.621187393,3.530251317,0.119160389,0.230543733,0.178223295,0.265310524,3878.42,0.08996704,6.47260532,10.88702096,0.293059577,0.032911844,25.07895546,-12.65780493,37.73676059,9.526131629,3.102206133,17.83646251,-5.687369385,1081.564118,27.768294,14.98793953,0.215897939,336.005543,212.4109143,274.3336333,268.2132377,127.7436053,207.921547,47.14347783,0.451959845,133.2430539,127.2085045,190.0769422,65.49294389,0.947518964,1.100333064,0.738019896,0.129088666,1.080998076,0.78398257,0.798209127,1.052510739,-0.205488445,0.139054975,1.405798401,0.18292897,0.617567351,9
"Diarrhena_obovata","Diarrhena_obovata","Diarrhena obovata","Perennial","Shade","Pooideae","C3",332.007,86573.28,10,31.7633,805.2544,9.041785714,12.718,4.26493788,204.3226081,1.085443559,1.38806412,0.134272506,0.253736717,0.120047477,0.109141698,8052.544,0.093014196,9.566039562,12.35503483,0.318800747,0.032927945,28.92100048,-10.08066487,39.00166512,19.95175457,-2.833699629,21.00038433,-2.887802124,910.5000305,23.17080021,10.36671472,0.244300701,290.5496063,149.8915024,285.9151001,150.0298538,132.8022003,209.5174942,54.43799973,0.408060908,198.793251,68.91633606,196.6320496,70.42588425,0.876379102,1.033742547,0.631037503,0.1616407,1.013733864,0.677170753,0.682318956,0.996102393,-0.40165551,0.157959506,1.058195502,1.248457015,0.310653508,14
"Digitaria_exilis","Digitaria_eriantha","Digitaria eriantha","Annual","Open","Panicoideae","C4",332.622,86894.227,8,29.957625,720.4375,2.2009,22.4221,6.391947254,265.1288829,1.427303164,1.345816023,0.213366288,0.368010942,0.648508866,0.060021854,5763.5,0.066327767,18.64269584,13.76329138,0.563097369,0.012716341,29.7520695,5.062996487,24.68907295,22.1266236,14.47504068,22.93699056,13.52816286,746.7899733,29.19835587,3.263519457,0.644222665,341.110252,54.20431439,290.7268078,86.23993231,191.32149,233.516092,142.5228565,0.158350705,205.3061939,173.3587713,220.0555111,156.0313755,0.521962378,0.798722225,0.261358718,0.358508915,0.750984507,0.292144289,0.643446004,0.397871311,0.904372064,-0.338429,-0.062366968,0.527837104,-0.592539671,10
"Distichlis_spicata","Distichlis_spicata","Distichlis spicata","Perennial","Open","Chloridoideae","C4",148.682,17362.329,4,29.46675,683.5435,3.247625,9.421125,1.603277762,73.97827042,0.796361716,1.217427315,0.054409725,0.108227597,0.245213569,0.129223136,2734.174,0.157477375,12.66466102,13.91125566,0.460706208,0.022238776,29.59465225,-2.572455285,32.16710735,11.70190904,14.1653627,20.79956913,4.727194623,429.0039367,17.44581083,1.942004602,0.669125831,202.6124982,33.12450013,72.3043982,159.7765456,161.1609887,247.8442843,77.52613352,0.37780343,137.2341104,197.2183232,225.4941588,91.7848828,0.447713017,0.750077199,0.204467367,0.443551069,0.713273944,0.226044167,0.255500618,0.655929485,0.434967649,-0.44113352,-0.2688058,-0.586095005,1.106630181,8
"Ehrharta_bulbosa","Ehrharta_erecta","Ehrharta erecta","Perennial","Shade","Oryzoideae","C3",230.104,41585.194,7,34.58342857,941.2305714,7.900625,17.000875,1.671614874,88.81866438,1.054823064,1.477536312,0.048335719,0.094364407,0.133511344,0.086909427,6588.614,0.158436534,15.34526576,12.06359607,0.526474344,0.013056412,27.47087713,4.411606725,23.05927019,13.46603269,17.13616284,20.28904804,10.68948849,692.7060964,24.92589324,4.665291391,0.565898015,294.5287889,73.17341839,133.6213163,216.1900086,168.0734451,237.9461525,94.50860207,0.299731593,139.7105397,200.1212651,218.9430328,112.0744301,0.619781113,1.007340258,0.280883674,0.458008727,0.963510823,0.310550872,0.400212387,0.835468493,0.774939428,-0.138657889,0.005384738,-0.829142392,0.8471092,8
"Ehrharta_stipoides","Ehrharta_stipoides","Ehrharta stipoides","Perennial","Shade","Oryzoideae","C3",344.966,93463.764,6,32.7505,897.2191667,11.174,15.3203,9.150836656,478.9349641,1.337972762,1.392853111,0.279410594,0.533799301,0.119739821,0.090915525,5383.315,0.057597884,14.69893132,10.81621739,0.511845297,0.012654989,25.81955994,4.508628968,21.31093097,14.38892636,15.38674736,19.31407785,10.00065635,1012.377232,31.07995649,9.646502642,0.352091678,371.0411024,147.8768858,258.2200672,258.9814741,163.2816707,230.6026528,91.77316401,0.303829263,144.1174569,186.2361441,211.7649496,109.631819,0.793937101,1.079664319,0.469223696,0.276287298,1.042558209,0.524457996,0.645072873,0.951798222,0.759173756,-0.065411695,0.801396841,-0.493617895,0.455382592,10
"Eleusine_indica","Eleusine_mulitflora","Eleusine multiflora","Annual","Open","Chloridoideae","C4",246.186,47601.09,7,29.67785714,698.8735714,1.877272727,10.33890909,3.250879493,153.3070893,0.385342988,1.045930825,0.109538889,0.219363123,0.205267451,0.101164525,4892.115,0.102773172,18.43886977,13.68812788,0.736964732,0.004970404,27.77030635,8.761433826,19.00887281,19.16330397,16.94379473,20.24073446,16.5561136,803.1250439,36.15500671,1.946538769,0.678171847,388.0657377,47.52153826,256.4387636,52.10855985,197.3642778,218.5653133,168.2574992,0.081932348,188.9932957,197.6246805,211.3619404,191.6855321,0.594981901,1.08372114,0.234284191,0.462626414,0.975561868,0.273831374,0.632424243,0.313685593,1.299400933,-0.109534382,-0.461811002,-0.166780191,-0.99041076,11
"Elionurus_barbiculmis","Elionurus_barbiculmis","Elionurus barbiculmis","Annual","Open","Panicoideae","C4",777.234,474453.103,20,42.91605,1459.2099,12.42104545,48.26045455,4.335332847,292.2710041,2.309103155,8.195507763,0.101018916,0.200294011,0.18590248,0.169818288,29184.198,0.061511239,16.65413984,16.22025214,0.527404199,0.018052795,32.59347746,1.376865004,31.21661335,22.23548889,15.63774639,23.13269456,10.01090972,672.444475,37.97225507,2.061789572,0.8069248,388.7367435,42.16599846,332.5248854,102.22504,174.0155979,247.4954427,105.2576663,0.265894592,203.3588121,196.6485981,218.3735521,120.1444028,0.467010697,0.906176441,0.181759631,0.457292211,0.777173761,0.230393234,0.602577809,0.447595497,0.483535217,0.143464545,-0.469987902,0.753406111,0.242531893,22
"Elymus_repens","Elymus_repens","Elymus repens","Perennial","Open","Pooideae","C3",175.379,24157.227,7,26.24028571,551.569,4.664,12.633875,4.001006861,147.6975635,0.770444028,1.202928621,0.152475735,0.267777129,0.165189543,0.095214542,3860.983,0.159827243,8.975957587,10.56452809,0.361834004,0.024080361,25.15437718,-5.170230141,30.32460723,10.10226353,9.915900592,17.68964769,0.411915424,670.9589873,20.35032497,6.565963852,0.362850465,238.0967915,102.9992023,145.9671515,179.6619769,138.5190923,234.9429784,51.72413389,0.477280992,128.9550677,164.7760616,211.4870586,66.58916459,0.71155384,0.964608469,0.406629974,0.287897373,0.933506945,0.454262365,0.481117792,0.889449413,0.173958293,-0.220325165,0.470761422,-0.676073115,0.956391868,8
"Elytrophorus_spicatus","Elytrophorus_spicatus","Elytrophorus spicatus","Annual","Open","Arundinoideae","C3",161.798,20560.607,2,34.008,928.2315,2.822333333,7.489222222,7.117736859,380.2106091,0.514153674,1.121129094,0.209295956,0.409607527,0.182173263,0.149699002,1856.463,0.090292227,25.14143711,13.39554937,0.546575287,0.012599945,36.48345001,11.65972191,24.82372824,28.57109536,21.00114531,29.41729702,19.91976827,727.2427783,41.34984708,1.2231942,0.926844467,454.9091612,23.68371529,289.3535493,59.78121184,201.1088999,244.051948,159.5291291,0.137941377,200.3032405,197.6639743,220.0890046,177.2592032,0.402930627,0.876258706,0.136861767,0.587397079,0.781809202,0.156398217,0.482219257,0.259424422,1.022832943,0.12386823,-0.804073689,0.624121003,-0.149428511,9
"Eragrostis_tef","Eragrostis_minor","Eragrostis minor","Annual","Open","Chloridoideae","C4",260.483,53290.514,4,53.30825,2243.43425,6.1686,14.8208,4.420336064,373.1937319,1.472257164,1.97833116,0.0829203,0.166349307,0.238669579,0.133483426,8973.737,0.168392765,15.0328483,11.92909721,0.434562457,0.019491296,29.44893188,1.357759431,28.09117238,15.9643304,14.23827411,22.06786656,7.782898165,697.1718768,25.83334367,4.912596532,0.514650204,296.6272107,79.15475654,205.1497753,151.5071961,167.6954097,240.8593147,95.32879267,0.31159048,155.7051332,180.1934888,220.1416095,110.6561349,0.597868605,0.903615663,0.337669843,0.34974495,0.855934434,0.369493461,0.491531863,0.703601999,0.541306928,-0.220314371,0.191865705,-0.151090415,0.57455514,10
"Eragrostis_walteri","Eragrostis_walteri","Eragrostis walteri","Perennial","Open","Arundinoideae","C3",117.752,10889.96,1,37.168,1085.009,1.728714286,9.798285714,0,0,0.221195023,1.610694645,0,0,0.127953488,0.164385352,1085.009,0.099633883,17.80136035,12.48696369,0.607108205,0.009644581,27.28157745,6.749904898,20.53167285,20.71218724,14.50879349,21.05837797,13.96584652,134.6773806,9.219810255,0.071954951,1.251134,96.3365999,1.798772754,74.73858969,2.498354299,197.3785917,242.5930949,154.4255839,0.137532344,204.6795708,174.4895502,218.5641228,166.6854179,0.178958057,0.364673451,0.078618077,0.491956872,0.320305266,0.085997848,0.240147409,0.123813412,1.273798043,-1.292541012,-0.731137903,-0.207211266,-1.157250699,7
"Eriachne_aristidea","Eriachne_aristidea","Eriachne aristidea","Perennial","Open","Micrairoideae","C4",239.847,45181.3,7,53.15542857,2438.047571,1.881375,12.4685,18.0322889,1463.918139,0.368008516,4.381354129,0.339237015,0.600446914,0.195606148,0.351393843,17066.333,0.377730012,22.21103641,14.78130936,0.483323287,0.019038505,36.90593152,6.269121343,30.63681029,28.22764366,17.22977887,28.97611032,14.70121846,313.7445401,13.17029875,2.009887463,0.524948696,142.8302924,35.32666641,131.810409,45.74692987,210.7751054,263.503919,144.3367968,0.193562911,234.0572398,201.244558,246.3947699,162.163059,0.255070695,0.354298247,0.169856146,0.212728276,0.328085441,0.186703718,0.274490213,0.268210005,0.939849414,-1.334206317,0.290192212,1.12466364,-0.015860871,8
